
List of user-set options:

                                    Name   Value                used
                   hessian_approximation = limited-memory        yes
                           linear_solver = ma57                  yes
                  ma57_automatic_scaling = yes                   yes
                                max_iter = 20000                 yes
                             mu_strategy = adaptive              yes
                             output_file = trackingOptimizationOutputFile.txtIPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 0.001                 yes
This is Ipopt version 3.12.9, running with linear solver ma57.

Number of nonzeros in equality constraint Jacobian...:     2053
Number of nonzeros in inequality constraint Jacobian.:      200
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      256
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      256
                     variables with only upper bounds:        0
Total number of equality constraints.................:      153
Total number of inequality constraints...............:       51
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:       51
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  6.6333334e-01 3.98e+05 3.33e-01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  6.7236679e-01 3.78e+05 3.18e+02  -2.5 7.25e+00    -  1.83e-02 5.24e-02h  1
   2  6.6950760e-01 3.73e+05 3.59e+02  -0.4 7.65e+00    -  1.29e-02 1.27e-02f  1
   3  6.6017857e-01 3.72e+05 3.63e+02   0.8 8.33e+00    -  1.00e+00 2.55e-03f  1
   4  1.6234114e-01 3.54e+05 1.12e+04   2.3 1.97e+01    -  1.41e-02 4.86e-02f  1
   5  5.4528127e-01 3.39e+05 5.81e+04   2.6 2.29e+01    -  2.50e-01 4.28e-02f  1
   6  5.2157659e-01 3.27e+05 5.50e+04   2.6 7.19e+00    -  4.89e-02 3.78e-02f  2
   7  4.8680799e-01 3.09e+05 1.38e+05   2.6 6.96e+00    -  8.04e-02 5.44e-02h  1
   8  4.8366190e-01 3.05e+05 4.22e+05   2.6 7.10e+00    -  5.33e-04 1.42e-02f  1
   9  4.7544335e-01 2.91e+05 4.59e+06   2.6 7.05e+00    -  1.86e-02 4.59e-02f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  4.7073749e-01 2.77e+05 1.00e+07   2.6 7.00e+00    -  4.07e-02 4.89e-02f  2
  11  4.7414671e-01 2.68e+05 9.31e+06   2.6 6.59e+00    -  1.00e-01 3.37e-02h  2
  12  4.6372897e-01 2.60e+05 6.03e+06   2.6 6.68e+00    -  6.19e-02 3.02e-02f  2
  13  4.5737099e-01 2.51e+05 7.43e+06   2.6 6.70e+00    -  4.51e-02 3.46e-02h  2
  14  4.5891928e-01 2.46e+05 8.89e+06   2.6 6.62e+00    -  2.85e-02 1.89e-02f  3
  15  4.6085274e-01 2.35e+05 1.55e+07   2.6 6.64e+00    -  5.21e-02 4.57e-02f  2
